,simbolo,tipo,sub_tipo,descricao,dividend_yield,patrimonio_liquido,liquidez_diaria_media,ultimo_rendimento,valor_patrimonial,rentabilidade_mes,p_vp,cotas_emitidas,numero_cotistas,min_semanas,max_semanas,valorizacao
17,BARI11,Papel,Papéis,,11.12,445900000.0,"764,6K",0.87,96.23,2.05,,4634191,37979,76.71,91.19,1.56
18,BBFI11B,Tijolo,Lajes Corporativas,,13.4,279200000.0,"297,4K",0.56,2147.98,1.14,,130000,17393,835.0,2184.86,40.92
19,BBFO11,Papel,Fundo de Fundos,,11.0,323400000.0,"573,0K",0.91,80.76,0.56,,4003900,5783,60.51,77.0,10.72
20,BBGO11,Fiagro,Indefinido,,13.41,390900000.0,"470,0K",0.93,97.61,1.44,,4005164,11321,77.0,93.7,12.58
21,BBPO11,Tijolo,Agências de Bancos,,10.96,1600000000.0,"1,8M",1.0,99.05,0.67,,15919690,72157,81.3,98.96,6.02
22,BBRC11,Tijolo,Agências de Bancos,,11.13,170500000.0,"140,8K",1.09,107.25,2.14,,1590000,9456,92.33,117.99,23.04
23,BCFF11,Papel,Fundo de Fundos,,9.04,2000000000.0,"3,5M",0.94,9.85,-2.43,,201491024,301309,7.61,9.52,14.52
24,BCIA11,Papel,Fundo de Fundos,,9.24,398400000.0,"656,1K",0.98,107.13,1.41,,3719038,20209,79.7,106.67,27.15
25,BCRI11,Papel,Papéis,,12.4,600400000.0,"706,3K",0.79,95.95,2.11,,6257873,46968,67.18,99.75,21.2
26,BICE11,Papel,Fundo de Fundos,,12.66,89500000.0,"2,5K",0.91,991.06,0.71,,90310,110,840.0,1000.0,8.72
27,BICR11,Papel,Papéis,,10.33,22200000.0,"3,5K",1.66,44.43,-1.34,,500000,613,51.02,109.99,20.03
28,BIME11,Fundo Misto,Indefinido,,13.41,51000000.0,"95,5K",0.85,8.72,-0.54,,5845602,8696,6.57,7.91,3.92
29,BLCA11,Fundo Misto,Indefinido,,15.01,222700000.0,"11,9K",0.93,139.19,-0.92,,1600000,243,86.01,140.0,43.11
30,BLCP11,Tijolo,Imóveis Industriais e Logísticos,,0.62,256600000.00000003,"103,1K",0.81,111.74,-0.43,,2296282,279,91.0,91.05,0.05
31,BLMC11,Papel,Papéis,,11.19,38600000.0,"122,3K",0.9,96.56,2.86,,399500,463,70.15,86.79,5.42
32,BLMG11,Tijolo,Imóveis Industriais e Logísticos,,19.05,320900000.0,"882,4K",0.5,84.22,1.41,,3810588,13774,39.7,75.05,43.34
